"Month","BaselineNetProfit","FilteredNetProfit","DeltaFilteredMinusBaseline"
"2022-01","-1078.00","3152.00","4230.00"
"2022-02","12883.00","15269.00","2386.00"
"2022-03","3446.00","-9994.00","-13440.00"
"2022-04","-5112.00","-1726.00","3386.00"
"2022-05","-87.00","2321.00","2408.00"
"2022-06","-2895.00","2601.00","5496.00"
"2022-07","-4446.00","-1508.00","2938.00"
"2022-08","-2493.00","-6625.00","-4132.00"
"2022-09","3414.00","9400.00","5986.00"
"2022-10","1943.00","9343.00","7400.00"
"2022-11","4864.00","1956.00","-2908.00"
"2022-12","4982.00","1946.00","-3036.00"
"2023-01","-9968.00","-9947.00","21.00"
"2023-02","-4158.00","-3167.00","991.00"
"2023-03","1403.00","-10183.00","-11586.00"
"2023-04","3144.00","2224.00","-920.00"
"2023-05","595.00","2445.00","1850.00"
"2023-06","-4787.00","-10045.00","-5258.00"
"2023-07","-9964.00","-9965.00","-1.00"
"2023-08","-9982.00","-6685.00","3297.00"
"2023-09","-1518.00","2760.00","4278.00"
"2023-10","6101.00","11431.00","5330.00"
"2023-11","2655.00","813.00","-1842.00"
"2023-12","4179.00","-1923.00","-6102.00"
"2024-01","-2375.00","-6395.00","-4020.00"
"2024-02","-1070.00","-4774.00","-3704.00"
"2024-03","2551.00","-5601.00","-8152.00"
"2024-04","-7829.00","3613.00","11442.00"
"2024-05","-10029.00","-342.00","9687.00"
"2024-06","6156.00","8747.00","2591.00"
"2024-07","3473.00","10699.00","7226.00"
"2024-08","-4731.00","-4297.00","434.00"
"2024-09","-9928.00","-5131.00","4797.00"
"2024-10","-9937.00","-10499.00","-562.00"
"2024-11","15942.00","16542.00","600.00"
"2024-12","-9749.00","-9934.00","-185.00"
"2025-01","965.00","3859.00","2894.00"
"2025-02","-232.00","-10186.00","-9954.00"
"2025-03","-9930.00","-9954.00","-24.00"
"2025-04","-10066.00","-10565.00","-499.00"
"2025-05","48785.00","-10428.00","-59213.00"
"2025-06","-9898.00","-9918.00","-20.00"
"2025-07","14737.00","15409.00","672.00"
"2025-08","-10028.00","-9734.00","294.00"
"2025-09","-1240.00","-9822.00","-8582.00"
"2025-10","35584.00","50216.00","14632.00"
"2025-11","-9883.00","2660.00","12543.00"
"2025-12","-9943.00","-9931.00","12.00"
