"Fast","Slow","Summary","EarlyStop","LastQuarter","MinQuarter","AvgQuarter"
"9","30","m15_posscan_f9_s30_l1 SUMMARY MinQuarterNet=-11,679.00 AvgQuarterNet=-3,274.80 PassAll12=False","m15_posscan_f9_s30_l1 EARLY_STOP Quarter=2023Q2 Net=-11,679.00 <= StopIfQuarterNetLe=0.00","2023Q2","-11679","-3274.8"
"9","40","m15_posscan_f9_s40_l1 SUMMARY MinQuarterNet=-7,367.20 AvgQuarterNet=1,119.10 PassAll12=False","m15_posscan_f9_s40_l1 EARLY_STOP Quarter=2023Q2 Net=-7,367.20 <= StopIfQuarterNetLe=0.00","2023Q2","-7367.2","1119.1"
"9","50","m15_posscan_f9_s50_l1 SUMMARY MinQuarterNet=-8,526.00 AvgQuarterNet=-4,213.80 PassAll12=False","m15_posscan_f9_s50_l1 EARLY_STOP Quarter=2023Q2 Net=-8,526.00 <= StopIfQuarterNetLe=0.00","2023Q2","-8526","-4213.8"
"9","60","","m15_posscan_f9_s60_l1 EARLY_STOP Quarter=2023Q1 Net=-871.00 <= StopIfQuarterNetLe=0.00","2023Q1",,
"9","75","m15_posscan_f9_s75_l1 SUMMARY MinQuarterNet=-5,310.60 AvgQuarterNet=-1,647.30 PassAll12=False","m15_posscan_f9_s75_l1 EARLY_STOP Quarter=2023Q2 Net=-5,310.60 <= StopIfQuarterNetLe=0.00","2023Q2","-5310.6","-1647.3"
"9","89","m15_posscan_f9_s89_l1 SUMMARY MinQuarterNet=-7,721.80 AvgQuarterNet=-2,866.20 PassAll12=False","m15_posscan_f9_s89_l1 EARLY_STOP Quarter=2023Q2 Net=-7,721.80 <= StopIfQuarterNetLe=0.00","2023Q2","-7721.8","-2866.2"
"9","100","m15_posscan_f9_s100_l1 SUMMARY MinQuarterNet=-7,656.40 AvgQuarterNet=-1,410.30 PassAll12=False","m15_posscan_f9_s100_l1 EARLY_STOP Quarter=2023Q2 Net=-7,656.40 <= StopIfQuarterNetLe=0.00","2023Q2","-7656.4","-1410.3"
"9","120","m15_posscan_f9_s120_l1 SUMMARY MinQuarterNet=-5,921.00 AvgQuarterNet=1,584.80 PassAll12=False","m15_posscan_f9_s120_l1 EARLY_STOP Quarter=2023Q2 Net=-5,921.00 <= StopIfQuarterNetLe=0.00","2023Q2","-5921","1584.8"
"9","144","m15_posscan_f9_s144_l1 SUMMARY MinQuarterNet=-10,635.60 AvgQuarterNet=317.80 PassAll12=False","m15_posscan_f9_s144_l1 EARLY_STOP Quarter=2023Q2 Net=-10,635.60 <= StopIfQuarterNetLe=0.00","2023Q2","-10635.6","317.8"
"9","150","m15_posscan_f9_s150_l1 SUMMARY MinQuarterNet=-7,591.00 AvgQuarterNet=1,529.60 PassAll12=False","m15_posscan_f9_s150_l1 EARLY_STOP Quarter=2023Q2 Net=-7,591.00 <= StopIfQuarterNetLe=0.00","2023Q2","-7591","1529.6"
