"FastEma","SlowEma","LotSize","QuartersTested","MinQuarterNet","AvgQuarterNet","MeetsAll12"
"34","50","1","1","-999999","-999999","False"
"34","40","5","1","-999999","-999999","False"
"34","50","2","1","-999999","-999999","False"
"34","50","1.5","1","-999999","-999999","False"
"34","40","2","1","-999999","-999999","False"
"34","40","1.5","1","-999999","-999999","False"
"34","40","4","1","-999999","-999999","False"
"34","40","3","1","-999999","-999999","False"
"34","60","2","1","-999999","-999999","False"
"34","60","1.5","1","-999999","-999999","False"
"34","60","4","1","-999999","-999999","False"
"34","60","3","1","-999999","-999999","False"
"34","50","4","1","-999999","-999999","False"
"34","50","3","1","-999999","-999999","False"
"34","60","1","1","-999999","-999999","False"
"34","50","5","1","-999999","-999999","False"
"34","40","1","1","-999999","-999999","False"
"30","144","1.5","1","-999999","-999999","False"
"30","144","1","1","-999999","-999999","False"
"30","144","3","1","-999999","-999999","False"
"30","144","2","1","-999999","-999999","False"
"30","120","3","1","-999999","-999999","False"
"30","120","2","1","-999999","-999999","False"
"30","120","5","1","-999999","-999999","False"
"30","120","4","1","-999999","-999999","False"
"30","150","3","1","-999999","-999999","False"
"30","150","2","1","-999999","-999999","False"
"30","150","5","1","-999999","-999999","False"
"30","150","4","1","-999999","-999999","False"
"30","144","5","1","-999999","-999999","False"
"30","144","4","1","-999999","-999999","False"
"30","150","1.5","1","-999999","-999999","False"
"30","150","1","1","-999999","-999999","False"
"34","60","5","1","-999999","-999999","False"
"34","120","4","1","-999999","-999999","False"
"34","120","3","1","-999999","-999999","False"
"34","144","1","1","-999999","-999999","False"
"34","120","5","1","-999999","-999999","False"
"34","120","1","1","-999999","-999999","False"
"34","100","5","1","-999999","-999999","False"
"34","120","2","1","-999999","-999999","False"
"34","120","1.5","1","-999999","-999999","False"
"34","150","1","1","-999999","-999999","False"
"34","144","5","1","-999999","-999999","False"
"34","150","2","1","-999999","-999999","False"
"34","150","1.5","1","-999999","-999999","False"
"34","144","2","1","-999999","-999999","False"
"34","144","1.5","1","-999999","-999999","False"
"34","144","4","1","-999999","-999999","False"
"34","144","3","1","-999999","-999999","False"
"34","100","4","1","-999999","-999999","False"
"34","75","5","1","-999999","-999999","False"
"34","75","4","1","-999999","-999999","False"
"34","89","1.5","1","-999999","-999999","False"
"34","89","1","1","-999999","-999999","False"
"34","75","1.5","1","-999999","-999999","False"
"34","75","1","1","-999999","-999999","False"
"34","75","3","1","-999999","-999999","False"
"34","75","2","1","-999999","-999999","False"
"34","100","1.5","1","-999999","-999999","False"
"34","100","1","1","-999999","-999999","False"
"34","100","3","1","-999999","-999999","False"
"34","100","2","1","-999999","-999999","False"
"34","89","3","1","-999999","-999999","False"
"34","89","2","1","-999999","-999999","False"
"34","89","5","1","-999999","-999999","False"
"34","89","4","1","-999999","-999999","False"
"30","120","1.5","1","-999999","-999999","False"
"25","144","4","1","-999999","-999999","False"
"25","144","3","1","-999999","-999999","False"
"25","150","1","1","-999999","-999999","False"
"25","144","5","1","-999999","-999999","False"
"25","144","1","1","-999999","-999999","False"
"25","120","5","1","-999999","-999999","False"
"25","144","2","1","-999999","-999999","False"
"25","144","1.5","1","-999999","-999999","False"
"30","40","1","1","-999999","-999999","False"
"25","150","5","1","-999999","-999999","False"
"30","40","2","1","-999999","-999999","False"
"30","40","1.5","1","-999999","-999999","False"
"25","150","2","1","-999999","-999999","False"
"25","150","1.5","1","-999999","-999999","False"
"25","150","4","1","-999999","-999999","False"
"25","150","3","1","-999999","-999999","False"
"25","120","4","1","-999999","-999999","False"
"25","89","5","1","-999999","-999999","False"
"25","89","4","1","-999999","-999999","False"
"25","100","1.5","1","-999999","-999999","False"
"25","100","1","1","-999999","-999999","False"
"25","89","1.5","1","-999999","-999999","False"
"25","89","1","1","-999999","-999999","False"
"25","89","3","1","-999999","-999999","False"
"25","89","2","1","-999999","-999999","False"
"25","120","1.5","1","-999999","-999999","False"
"25","120","1","1","-999999","-999999","False"
"25","120","3","1","-999999","-999999","False"
"25","120","2","1","-999999","-999999","False"
"25","100","3","1","-999999","-999999","False"
"25","100","2","1","-999999","-999999","False"
"25","100","5","1","-999999","-999999","False"
"25","100","4","1","-999999","-999999","False"
"30","40","3","1","-999999","-999999","False"
"30","89","2","1","-999999","-999999","False"
"30","89","1.5","1","-999999","-999999","False"
"30","89","4","1","-999999","-999999","False"
"30","89","3","1","-999999","-999999","False"
"30","75","4","1","-999999","-999999","False"
"30","75","3","1","-999999","-999999","False"
"30","89","1","1","-999999","-999999","False"
"30","75","5","1","-999999","-999999","False"
"30","100","4","1","-999999","-999999","False"
"30","100","3","1","-999999","-999999","False"
"30","120","1","1","-999999","-999999","False"
"30","100","5","1","-999999","-999999","False"
"30","100","1","1","-999999","-999999","False"
"30","89","5","1","-999999","-999999","False"
"30","100","2","1","-999999","-999999","False"
"30","100","1.5","1","-999999","-999999","False"
"30","75","2","1","-999999","-999999","False"
"30","50","3","1","-999999","-999999","False"
"30","50","2","1","-999999","-999999","False"
"30","50","5","1","-999999","-999999","False"
"30","50","4","1","-999999","-999999","False"
"30","40","5","1","-999999","-999999","False"
"30","40","4","1","-999999","-999999","False"
"30","50","1.5","1","-999999","-999999","False"
"30","50","1","1","-999999","-999999","False"
"30","60","5","1","-999999","-999999","False"
"30","60","4","1","-999999","-999999","False"
"30","75","1.5","1","-999999","-999999","False"
"30","75","1","1","-999999","-999999","False"
"30","60","1.5","1","-999999","-999999","False"
"30","60","1","1","-999999","-999999","False"
"30","60","3","1","-999999","-999999","False"
"30","60","2","1","-999999","-999999","False"
"50","150","3","1","-999999","-999999","False"
"50","150","2","1","-999999","-999999","False"
"50","150","5","1","-999999","-999999","False"
"50","150","4","1","-999999","-999999","False"
"50","144","5","1","-999999","-999999","False"
"50","144","4","1","-999999","-999999","False"
"50","150","1.5","1","-999999","-999999","False"
"50","150","1","1","-999999","-999999","False"
"55","60","5","1","-999999","-999999","False"
"55","60","4","1","-999999","-999999","False"
"55","75","1.5","1","-999999","-999999","False"
"55","75","1","1","-999999","-999999","False"
"55","60","1.5","1","-999999","-999999","False"
"55","60","1","1","-999999","-999999","False"
"55","60","3","1","-999999","-999999","False"
"55","60","2","1","-999999","-999999","False"
"50","144","3","1","-999999","-999999","False"
"50","100","4","1","-999999","-999999","False"
"50","100","3","1","-999999","-999999","False"
"50","120","1","1","-999999","-999999","False"
"50","100","5","1","-999999","-999999","False"
"50","100","1","1","-999999","-999999","False"
"50","89","5","1","-999999","-999999","False"
"50","100","2","1","-999999","-999999","False"
"50","100","1.5","1","-999999","-999999","False"
"50","144","1","1","-999999","-999999","False"
"50","120","5","1","-999999","-999999","False"
"50","144","2","1","-999999","-999999","False"
"50","144","1.5","1","-999999","-999999","False"
"50","120","2","1","-999999","-999999","False"
"50","120","1.5","1","-999999","-999999","False"
"50","120","4","1","-999999","-999999","False"
"50","120","3","1","-999999","-999999","False"
"55","75","2","1","-999999","-999999","False"
"55","144","1.5","1","-999999","-999999","False"
"55","144","1","1","-999999","-999999","False"
"55","144","3","1","-999999","-999999","False"
"55","144","2","1","-999999","-999999","False"
"55","120","3","1","-999999","-999999","False"
"55","120","2","1","-999999","-999999","False"
"55","120","5","1","-999999","-999999","False"
"55","120","4","1","-999999","-999999","False"
"55","150","3","1","-999999","-999999","False"
"55","150","2","1","-999999","-999999","False"
"55","150","5","1","-999999","-999999","False"
"55","150","4","1","-999999","-999999","False"
"55","144","5","1","-999999","-999999","False"
"55","144","4","1","-999999","-999999","False"
"55","150","1.5","1","-999999","-999999","False"
"55","150","1","1","-999999","-999999","False"
"55","120","1.5","1","-999999","-999999","False"
"55","89","2","1","-999999","-999999","False"
"55","89","1.5","1","-999999","-999999","False"
"55","89","4","1","-999999","-999999","False"
"55","89","3","1","-999999","-999999","False"
"55","75","4","1","-999999","-999999","False"
"55","75","3","1","-999999","-999999","False"
"55","89","1","1","-999999","-999999","False"
"55","75","5","1","-999999","-999999","False"
"55","100","4","1","-999999","-999999","False"
"55","100","3","1","-999999","-999999","False"
"55","120","1","1","-999999","-999999","False"
"55","100","5","1","-999999","-999999","False"
"55","100","1","1","-999999","-999999","False"
"55","89","5","1","-999999","-999999","False"
"55","100","2","1","-999999","-999999","False"
"55","100","1.5","1","-999999","-999999","False"
"50","89","4","1","-999999","-999999","False"
"40","89","1.5","1","-999999","-999999","False"
"40","89","1","1","-999999","-999999","False"
"40","89","3","1","-999999","-999999","False"
"40","89","2","1","-999999","-999999","False"
"40","75","3","1","-999999","-999999","False"
"40","75","2","1","-999999","-999999","False"
"40","75","5","1","-999999","-999999","False"
"40","75","4","1","-999999","-999999","False"
"40","100","3","1","-999999","-999999","False"
"40","100","2","1","-999999","-999999","False"
"40","100","5","1","-999999","-999999","False"
"40","100","4","1","-999999","-999999","False"
"40","89","5","1","-999999","-999999","False"
"40","89","4","1","-999999","-999999","False"
"40","100","1.5","1","-999999","-999999","False"
"40","100","1","1","-999999","-999999","False"
"40","75","1.5","1","-999999","-999999","False"
"40","50","2","1","-999999","-999999","False"
"40","50","1.5","1","-999999","-999999","False"
"40","50","4","1","-999999","-999999","False"
"40","50","3","1","-999999","-999999","False"
"34","150","4","1","-999999","-999999","False"
"34","150","3","1","-999999","-999999","False"
"40","50","1","1","-999999","-999999","False"
"34","150","5","1","-999999","-999999","False"
"40","60","4","1","-999999","-999999","False"
"40","60","3","1","-999999","-999999","False"
"40","75","1","1","-999999","-999999","False"
"40","60","5","1","-999999","-999999","False"
"40","60","1","1","-999999","-999999","False"
"40","50","5","1","-999999","-999999","False"
"40","60","2","1","-999999","-999999","False"
"40","60","1.5","1","-999999","-999999","False"
"40","120","1","1","-999999","-999999","False"
"50","60","5","1","-999999","-999999","False"
"50","60","4","1","-999999","-999999","False"
"50","75","1.5","1","-999999","-999999","False"
"50","75","1","1","-999999","-999999","False"
"50","60","1.5","1","-999999","-999999","False"
"50","60","1","1","-999999","-999999","False"
"50","60","3","1","-999999","-999999","False"
"50","60","2","1","-999999","-999999","False"
"50","89","1.5","1","-999999","-999999","False"
"50","89","1","1","-999999","-999999","False"
"50","89","3","1","-999999","-999999","False"
"50","89","2","1","-999999","-999999","False"
"50","75","3","1","-999999","-999999","False"
"50","75","2","1","-999999","-999999","False"
"50","75","5","1","-999999","-999999","False"
"50","75","4","1","-999999","-999999","False"
"40","150","5","1","-999999","-999999","False"
"40","144","1","1","-999999","-999999","False"
"40","120","5","1","-999999","-999999","False"
"40","144","2","1","-999999","-999999","False"
"40","144","1.5","1","-999999","-999999","False"
"40","120","2","1","-999999","-999999","False"
"40","120","1.5","1","-999999","-999999","False"
"40","120","4","1","-999999","-999999","False"
"40","120","3","1","-999999","-999999","False"
