"Fast","Slow","Summary","EarlyStop"
"9","30","m15_t21000_f9_s30_l5 SUMMARY MinQuarterNet=-26,035.00 AvgQuarterNet=-194.00 PassAll12=False","m15_t21000_f9_s30_l5 EARLY_STOP Quarter=2023Q2 Net=-26,035.00 <= StopIfQuarterNetLe=21,000.00"
"9","40","m15_t21000_f9_s40_l5 SUMMARY MinQuarterNet=-25,798.00 AvgQuarterNet=11,114.50 PassAll12=False","m15_t21000_f9_s40_l5 EARLY_STOP Quarter=2023Q2 Net=-25,798.00 <= StopIfQuarterNetLe=21,000.00"
"9","50","","m15_t21000_f9_s50_l5 EARLY_STOP Quarter=2023Q1 Net=492.00 <= StopIfQuarterNetLe=21,000.00"
"9","60","","m15_t21000_f9_s60_l5 EARLY_STOP Quarter=2023Q1 Net=-4,355.00 <= StopIfQuarterNetLe=21,000.00"
"9","75","","m15_t21000_f9_s75_l5 EARLY_STOP Quarter=2023Q1 Net=10,080.00 <= StopIfQuarterNetLe=21,000.00"
"9","89","","m15_t21000_f9_s89_l5 EARLY_STOP Quarter=2023Q1 Net=9,947.00 <= StopIfQuarterNetLe=21,000.00"
"9","100","m15_t21000_f9_s100_l5 SUMMARY MinQuarterNet=-25,827.00 AvgQuarterNet=-824.00 PassAll12=False","m15_t21000_f9_s100_l5 EARLY_STOP Quarter=2023Q2 Net=-25,827.00 <= StopIfQuarterNetLe=21,000.00"
"9","120","m15_t21000_f9_s120_l5 SUMMARY MinQuarterNet=-25,630.00 AvgQuarterNet=9,911.50 PassAll12=False","m15_t21000_f9_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-25,630.00 <= StopIfQuarterNetLe=21,000.00"
"9","144","m15_t21000_f9_s144_l5 SUMMARY MinQuarterNet=-24,582.00 AvgQuarterNet=15,887.00 PassAll12=False","m15_t21000_f9_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-24,582.00 <= StopIfQuarterNetLe=21,000.00"
"9","150","m15_t21000_f9_s150_l5 SUMMARY MinQuarterNet=-26,365.00 AvgQuarterNet=13,443.00 PassAll12=False","m15_t21000_f9_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-26,365.00 <= StopIfQuarterNetLe=21,000.00"
"12","30","m15_t21000_f12_s30_l5 SUMMARY MinQuarterNet=-25,718.00 AvgQuarterNet=5,400.00 PassAll12=False","m15_t21000_f12_s30_l5 EARLY_STOP Quarter=2023Q2 Net=-25,718.00 <= StopIfQuarterNetLe=21,000.00"
"12","40","m15_t21000_f12_s40_l5 SUMMARY MinQuarterNet=-25,092.00 AvgQuarterNet=4,938.00 PassAll12=False","m15_t21000_f12_s40_l5 EARLY_STOP Quarter=2023Q2 Net=-25,092.00 <= StopIfQuarterNetLe=21,000.00"
"12","50","","m15_t21000_f12_s50_l5 EARLY_STOP Quarter=2023Q1 Net=6,781.00 <= StopIfQuarterNetLe=21,000.00"
"12","60","","m15_t21000_f12_s60_l5 EARLY_STOP Quarter=2023Q1 Net=-6,913.00 <= StopIfQuarterNetLe=21,000.00"
"12","75","","m15_t21000_f12_s75_l5 EARLY_STOP Quarter=2023Q1 Net=18,523.00 <= StopIfQuarterNetLe=21,000.00"
"12","89","","m15_t21000_f12_s89_l5 EARLY_STOP Quarter=2023Q1 Net=12,162.00 <= StopIfQuarterNetLe=21,000.00"
"12","100","m15_t21000_f12_s100_l5 SUMMARY MinQuarterNet=-24,839.00 AvgQuarterNet=-1,376.00 PassAll12=False","m15_t21000_f12_s100_l5 EARLY_STOP Quarter=2023Q2 Net=-24,839.00 <= StopIfQuarterNetLe=21,000.00"
"12","120","m15_t21000_f12_s120_l5 SUMMARY MinQuarterNet=-25,554.00 AvgQuarterNet=3,421.50 PassAll12=False","m15_t21000_f12_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-25,554.00 <= StopIfQuarterNetLe=21,000.00"
"12","144","m15_t21000_f12_s144_l5 SUMMARY MinQuarterNet=-25,055.00 AvgQuarterNet=18,459.00 PassAll12=False","m15_t21000_f12_s144_l5 EARLY_STOP Quarter=2023Q2 Net=-25,055.00 <= StopIfQuarterNetLe=21,000.00"
"12","150","m15_t21000_f12_s150_l5 SUMMARY MinQuarterNet=-24,718.00 AvgQuarterNet=12,490.00 PassAll12=False","m15_t21000_f12_s150_l5 EARLY_STOP Quarter=2023Q2 Net=-24,718.00 <= StopIfQuarterNetLe=21,000.00"
"15","30","m15_t21000_f15_s30_l5 SUMMARY MinQuarterNet=-24,945.00 AvgQuarterNet=11,068.50 PassAll12=False","m15_t21000_f15_s30_l5 EARLY_STOP Quarter=2023Q2 Net=-24,945.00 <= StopIfQuarterNetLe=21,000.00"
"15","40","","m15_t21000_f15_s40_l5 EARLY_STOP Quarter=2023Q1 Net=4,624.00 <= StopIfQuarterNetLe=21,000.00"
"15","50","","m15_t21000_f15_s50_l5 EARLY_STOP Quarter=2023Q1 Net=10,096.00 <= StopIfQuarterNetLe=21,000.00"
"15","60","","m15_t21000_f15_s60_l5 EARLY_STOP Quarter=2023Q1 Net=7,674.00 <= StopIfQuarterNetLe=21,000.00"
"15","75","m15_t21000_f15_s75_l5 SUMMARY MinQuarterNet=-20,488.00 AvgQuarterNet=518.50 PassAll12=False","m15_t21000_f15_s75_l5 EARLY_STOP Quarter=2023Q2 Net=-20,488.00 <= StopIfQuarterNetLe=21,000.00"
"15","89","","m15_t21000_f15_s89_l5 EARLY_STOP Quarter=2023Q1 Net=16,615.00 <= StopIfQuarterNetLe=21,000.00"
"15","100","m15_t21000_f15_s100_l5 SUMMARY MinQuarterNet=-25,351.00 AvgQuarterNet=2,199.00 PassAll12=False","m15_t21000_f15_s100_l5 EARLY_STOP Quarter=2023Q2 Net=-25,351.00 <= StopIfQuarterNetLe=21,000.00"
"15","120","m15_t21000_f15_s120_l5 SUMMARY MinQuarterNet=-25,487.00 AvgQuarterNet=8,196.00 PassAll12=False","m15_t21000_f15_s120_l5 EARLY_STOP Quarter=2023Q2 Net=-25,487.00 <= StopIfQuarterNetLe=21,000.00"
