"Fast","Slow","Lot","Quarters","MinQuarter","AvgQuarter","PassAll12"
"30","120","5","1","69652","69652","False"
"25","144","5","1","69638","69638","False"
"20","144","5","1","64738","64738","False"
"12","144","5","1","61973","61973","False"
"20","150","5","1","58493","58493","False"
"30","144","5","1","58033","58033","False"
"15","144","5","1","57753","57753","False"
"9","144","5","1","56356","56356","False"
"30","120","4","1","55721.6","55721.6","False"
"25","144","4","1","55710.4","55710.4","False"
"9","150","5","1","53251","53251","False"
"15","150","5","1","52383","52383","False"
"20","144","4","1","51790.4","51790.4","False"
"30","150","5","1","51625","51625","False"
"12","150","5","1","49698","49698","False"
"12","144","4","1","49578.4","49578.4","False"
"9","40","5","1","48027","48027","False"
"15","30","5","1","47082","47082","False"
"20","150","4","1","46794.4","46794.4","False"
"30","144","4","1","46426.4","46426.4","False"
"15","144","4","1","46202.4","46202.4","False"
"9","120","5","1","45453","45453","False"
"9","144","4","1","45084.8","45084.8","False"
"9","150","4","1","42600.8","42600.8","False"
"25","150","5","1","42528","42528","False"
"15","150","4","1","41906.4","41906.4","False"
"15","120","5","1","41879","41879","False"
"30","120","3","1","41791.2","41791.2","False"
"25","144","3","1","41782.8","41782.8","False"
"30","150","4","1","41300","41300","False"
"12","150","4","1","39758.4","39758.4","False"
"20","144","3","1","38842.8","38842.8","False"
"9","40","4","1","38421.6","38421.6","False"
"15","30","4","1","37665.6","37665.6","False"
"20","100","5","1","37199","37199","False"
"12","144","3","1","37183.8","37183.8","False"
"12","30","5","1","36518","36518","False"
"9","120","4","1","36362.4","36362.4","False"
"20","150","3","1","35095.8","35095.8","False"
"12","40","5","1","34968","34968","False"
"25","89","5","1","34857","34857","False"
"30","144","3","1","34819.8","34819.8","False"
"15","144","3","1","34651.8","34651.8","False"
"25","150","4","1","34022.4","34022.4","False"
"9","144","3","1","33813.6","33813.6","False"
"15","120","4","1","33503.2","33503.2","False"
"20","89","5","1","33062","33062","False"
"20","30","5","1","32895","32895","False"
"12","120","5","1","32397","32397","False"
"9","150","3","1","31950.6","31950.6","False"
"15","150","3","1","31429.8","31429.8","False"
"30","150","3","1","30975","30975","False"
"12","150","3","1","29818.8","29818.8","False"
"20","100","4","1","29759.2","29759.2","False"
"15","100","5","1","29749","29749","False"
"12","30","4","1","29214.4","29214.4","False"
"9","40","3","1","28816.2","28816.2","False"
"15","30","3","1","28249.2","28249.2","False"
"12","40","4","1","27974.4","27974.4","False"
"25","89","4","1","27885.6","27885.6","False"
"30","120","2","1","27860.8","27860.8","False"
"25","144","2","1","27855.2","27855.2","False"
"9","120","3","1","27271.8","27271.8","False"
"20","89","4","1","26449.6","26449.6","False"
"20","30","4","1","26316","26316","False"
"12","120","4","1","25917.6","25917.6","False"
"20","144","2","1","25895.2","25895.2","False"
"9","30","5","1","25647","25647","False"
"25","150","3","1","25516.8","25516.8","False"
"15","120","3","1","25127.4","25127.4","False"
"12","144","2","1","24789.2","24789.2","False"
"30","89","5","1","24426","24426","False"
"9","100","5","1","24179","24179","False"
"15","100","4","1","23799.2","23799.2","False"
"25","100","5","1","23516","23516","False"
"20","150","2","1","23397.2","23397.2","False"
"30","144","2","1","23213.2","23213.2","False"
"15","144","2","1","23101.2","23101.2","False"
"25","75","5","1","22817","22817","False"
"9","144","2","1","22542.4","22542.4","False"
"20","100","3","1","22319.4","22319.4","False"
"12","100","5","1","22087","22087","False"
"12","30","3","1","21910.8","21910.8","False"
"25","120","5","1","21734","21734","False"
"15","75","5","1","21525","21525","False"
"9","150","2","1","21300.4","21300.4","False"
"12","40","3","1","20980.8","20980.8","False"
"15","150","2","1","20953.2","20953.2","False"
"25","89","3","1","20914.2","20914.2","False"
"30","120","1.5","1","20895.6","20895.6","False"
"25","144","1.5","1","20891.4","20891.4","False"
"30","150","2","1","20650","20650","False"
"9","30","4","1","20517.6","20517.6","False"
"12","150","2","1","19879.2","19879.2","False"
"20","89","3","1","19837.2","19837.2","False"
"20","30","3","1","19737","19737","False"
"30","89","4","1","19540.8","19540.8","False"
"12","120","3","1","19438.2","19438.2","False"
"20","144","1.5","1","19421.4","19421.4","False"
"9","100","4","1","19343.2","19343.2","False"
"9","40","2","1","19210.8","19210.8","False"
"20","75","5","1","19137","19137","False"
"15","30","2","1","18832.8","18832.8","False"
"25","100","4","1","18812.8","18812.8","False"
"12","144","1.5","1","18591.9","18591.9","False"
"12","75","5","1","18523","18523","False"
"25","75","4","1","18253.6","18253.6","False"
"9","120","2","1","18181.2","18181.2","False"
"15","100","3","1","17849.4","17849.4","False"
"12","100","4","1","17669.6","17669.6","False"
"20","150","1.5","1","17547.9","17547.9","False"
"30","144","1.5","1","17409.9","17409.9","False"
"25","120","4","1","17387.2","17387.2","False"
"15","144","1.5","1","17325.9","17325.9","False"
"15","75","4","1","17220","17220","False"
"25","150","2","1","17011.2","17011.2","False"
"9","144","1.5","1","16906.8","16906.8","False"
"15","120","2","1","16751.6","16751.6","False"
"15","89","5","1","16615","16615","False"
"30","60","5","1","16252","16252","False"
"30","75","5","1","16019","16019","False"
"9","150","1.5","1","15975.3","15975.3","False"
"15","150","1.5","1","15714.9","15714.9","False"
"30","150","1.5","1","15487.5","15487.5","False"
"9","30","3","1","15388.2","15388.2","False"
"20","75","4","1","15309.6","15309.6","False"
"12","150","1.5","1","14909.4","14909.4","False"
"20","100","2","1","14879.6","14879.6","False"
"12","75","4","1","14818.4","14818.4","False"
"30","89","3","1","14655.6","14655.6","False"
"12","30","2","1","14607.2","14607.2","False"
"9","100","3","1","14507.4","14507.4","False"
"9","40","1.5","1","14408.1","14408.1","False"
"15","30","1.5","1","14124.6","14124.6","False"
"25","100","3","1","14109.6","14109.6","False"
"20","120","5","1","14031","14031","False"
"12","40","2","1","13987.2","13987.2","False"
"25","89","2","1","13942.8","13942.8","False"
"30","120","1","1","13930.4","13930.4","False"
"25","144","1","1","13927.6","13927.6","False"
"25","75","3","1","13690.2","13690.2","False"
"9","120","1.5","1","13635.9","13635.9","False"
"15","89","4","1","13292","13292","False"
"12","100","3","1","13252.2","13252.2","False"
"20","89","2","1","13224.8","13224.8","False"
"20","30","2","1","13158","13158","False"
"25","120","3","1","13040.4","13040.4","False"
"30","60","4","1","13001.6","13001.6","False"
"12","120","2","1","12958.8","12958.8","False"
"20","144","1","1","12947.6","12947.6","False"
"15","75","3","1","12915","12915","False"
"30","75","4","1","12815.2","12815.2","False"
"25","150","1.5","1","12758.4","12758.4","False"
"15","120","1.5","1","12563.7","12563.7","False"
"12","144","1","1","12394.6","12394.6","False"
"12","89","5","1","12162","12162","False"
"30","100","5","1","12039","12039","False"
"15","100","2","1","11899.6","11899.6","False"
"20","150","1","1","11698.6","11698.6","False"
"30","144","1","1","11606.6","11606.6","False"
"15","144","1","1","11550.6","11550.6","False"
"20","75","3","1","11482.2","11482.2","False"
"9","144","1","1","11271.2","11271.2","False"
"20","120","4","1","11224.8","11224.8","False"
"20","100","1.5","1","11159.7","11159.7","False"
"12","75","3","1","11113.8","11113.8","False"
"12","30","1.5","1","10955.4","10955.4","False"
"9","150","1","1","10650.2","10650.2","False"
"12","40","1.5","1","10490.4","10490.4","False"
"15","150","1","1","10476.6","10476.6","False"
"25","89","1.5","1","10457.1","10457.1","False"
"25","60","5","1","10376","10376","False"
"30","150","1","1","10325","10325","False"
"9","30","2","1","10258.8","10258.8","False"
"15","50","5","1","10096","10096","False"
"9","75","5","1","10080","10080","False"
"15","89","3","1","9969","9969","False"
"9","89","5","1","9947","9947","False"
"12","150","1","1","9939.6","9939.6","False"
"20","89","1.5","1","9918.6","9918.6","False"
"20","30","1.5","1","9868.5","9868.5","False"
"25","40","5","1","9803","9803","False"
"30","89","2","1","9770.4","9770.4","False"
"30","60","3","1","9751.2","9751.2","False"
"12","89","4","1","9729.6","9729.6","False"
"12","120","1.5","1","9719.1","9719.1","False"
"9","100","2","1","9671.6","9671.6","False"
"30","100","4","1","9631.2","9631.2","False"
"25","30","5","1","9621","9621","False"
"30","75","3","1","9611.4","9611.4","False"
"9","40","1","1","9605.4","9605.4","False"
"15","30","1","1","9416.4","9416.4","False"
"25","100","2","1","9406.4","9406.4","False"
"25","75","2","1","9126.8","9126.8","False"
"9","120","1","1","9090.6","9090.6","False"
"15","100","1.5","1","8924.7","8924.7","False"
"12","100","2","1","8834.8","8834.8","False"
"25","120","2","1","8693.6","8693.6","False"
"15","75","2","1","8610","8610","False"
"25","150","1","1","8505.6","8505.6","False"
"20","120","3","1","8418.6","8418.6","False"
"15","120","1","1","8375.8","8375.8","False"
"25","60","4","1","8300.8","8300.8","False"
"15","50","4","1","8076.8","8076.8","False"
"9","75","4","1","8064","8064","False"
"9","89","4","1","7957.6","7957.6","False"
"25","40","4","1","7842.4","7842.4","False"
"25","30","4","1","7696.8","7696.8","False"
"9","30","1.5","1","7694.1","7694.1","False"
"15","60","5","1","7674","7674","False"
"20","75","2","1","7654.8","7654.8","False"
"20","100","1","1","7439.8","7439.8","False"
"20","40","5","1","7421","7421","False"
"12","75","2","1","7409.2","7409.2","False"
"30","89","1.5","1","7327.8","7327.8","False"
"12","30","1","1","7303.6","7303.6","False"
"12","89","3","1","7297.2","7297.2","False"
"9","100","1.5","1","7253.7","7253.7","False"
"30","100","3","1","7223.4","7223.4","False"
"25","100","1.5","1","7054.8","7054.8","False"
"12","40","1","1","6993.6","6993.6","False"
"25","89","1","1","6971.4","6971.4","False"
"25","75","1.5","1","6845.1","6845.1","False"
"12","50","5","1","6781","6781","False"
"15","89","2","1","6646","6646","False"
"12","100","1.5","1","6626.1","6626.1","False"
"20","89","1","1","6612.4","6612.4","False"
"20","30","1","1","6579","6579","False"
"25","120","1.5","1","6520.2","6520.2","False"
"30","60","2","1","6500.8","6500.8","False"
"12","120","1","1","6479.4","6479.4","False"
"15","75","1.5","1","6457.5","6457.5","False"
"30","75","2","1","6407.6","6407.6","False"
"25","60","3","1","6225.6","6225.6","False"
"15","60","4","1","6139.2","6139.2","False"
"15","50","3","1","6057.6","6057.6","False"
"9","75","3","1","6048","6048","False"
"9","89","3","1","5968.2","5968.2","False"
"15","100","1","1","5949.8","5949.8","False"
"20","40","4","1","5936.8","5936.8","False"
"25","40","3","1","5881.8","5881.8","False"
"25","30","3","1","5772.6","5772.6","False"
"20","75","1.5","1","5741.1","5741.1","False"
"20","120","2","1","5612.4","5612.4","False"
"12","75","1.5","1","5556.9","5556.9","False"
"12","50","4","1","5424.8","5424.8","False"
"9","30","1","1","5129.4","5129.4","False"
"15","89","1.5","1","4984.5","4984.5","False"
"30","89","1","1","4885.2","4885.2","False"
"30","60","1.5","1","4875.6","4875.6","False"
"12","89","2","1","4864.8","4864.8","False"
"9","100","1","1","4835.8","4835.8","False"
"30","100","2","1","4815.6","4815.6","False"
"30","75","1.5","1","4805.7","4805.7","False"
"25","100","1","1","4703.2","4703.2","False"
"15","40","5","1","4624","4624","False"
"15","60","3","1","4604.4","4604.4","False"
"25","75","1","1","4563.4","4563.4","False"
"20","40","3","1","4452.6","4452.6","False"
"12","100","1","1","4417.4","4417.4","False"
"25","120","1","1","4346.8","4346.8","False"
"15","75","1","1","4305","4305","False"
"20","120","1.5","1","4209.3","4209.3","False"
"25","60","2","1","4150.4","4150.4","False"
"12","50","3","1","4068.6","4068.6","False"
"15","50","2","1","4038.4","4038.4","False"
"9","75","2","1","4032","4032","False"
"9","89","2","1","3978.8","3978.8","False"
"30","50","5","1","3931","3931","False"
"25","40","2","1","3921.2","3921.2","False"
"25","30","2","1","3848.4","3848.4","False"
"20","75","1","1","3827.4","3827.4","False"
"12","75","1","1","3704.6","3704.6","False"
"15","40","4","1","3699.2","3699.2","False"
"12","89","1.5","1","3648.6","3648.6","False"
"30","100","1.5","1","3611.7","3611.7","False"
"15","89","1","1","3323","3323","False"
"30","60","1","1","3250.4","3250.4","False"
"30","75","1","1","3203.8","3203.8","False"
"30","50","4","1","3144.8","3144.8","False"
"25","60","1.5","1","3112.8","3112.8","False"
"15","60","2","1","3069.6","3069.6","False"
"15","50","1.5","1","3028.8","3028.8","False"
"9","75","1.5","1","3024","3024","False"
"20","50","5","1","2989","2989","False"
"9","89","1.5","1","2984.1","2984.1","False"
"20","40","2","1","2968.4","2968.4","False"
"25","40","1.5","1","2940.9","2940.9","False"
"25","30","1.5","1","2886.3","2886.3","False"
"20","120","1","1","2806.2","2806.2","False"
"15","40","3","1","2774.4","2774.4","False"
"12","50","2","1","2712.4","2712.4","False"
"12","89","1","1","2432.4","2432.4","False"
"30","100","1","1","2407.8","2407.8","False"
"20","50","4","1","2391.2","2391.2","False"
"30","50","3","1","2358.6","2358.6","False"
"15","60","1.5","1","2302.2","2302.2","False"
"20","40","1.5","1","2226.3","2226.3","False"
"25","60","1","1","2075.2","2075.2","False"
"12","50","1.5","1","2034.3","2034.3","False"
