"Month","FromDate","ToDate","NetProfit","GrossProfit","GrossLoss","ReportFile"
"2022-01","2022-01-01","2022-01-31","-1 078.00","19 223.00","-20 301.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202201.htm"
"2022-02","2022-02-01","2022-02-28","12 883.00","27 022.00","-14 139.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202202.htm"
"2022-03","2022-03-01","2022-03-31","3 446.00","36 578.00","-33 132.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202203.htm"
"2022-04","2022-04-01","2022-04-30","-5 112.00","20 162.00","-25 274.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202204.htm"
"2022-05","2022-05-01","2022-05-31","-87.00","23 619.00","-23 706.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202205.htm"
"2022-06","2022-06-01","2022-06-30","-2 895.00","21 831.00","-24 726.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202206.htm"
"2022-07","2022-07-01","2022-07-31","-4 446.00","21 540.00","-25 986.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202207.htm"
"2022-08","2022-08-01","2022-08-31","-2 493.00","19 948.00","-22 441.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202208.htm"
"2022-09","2022-09-01","2022-09-30","3 414.00","26 443.00","-23 029.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202209.htm"
"2022-10","2022-10-01","2022-10-31","1 943.00","23 875.00","-21 932.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202210.htm"
"2022-11","2022-11-01","2022-11-30","4 864.00","27 075.00","-22 211.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202211.htm"
"2022-12","2022-12-01","2022-12-31","4 982.00","22 587.00","-17 605.00","C:\SMINDS\projects\sminds-mql-robos\mt5\reports\ema_small_big_buysell_xauusd_m5_ema20_50_202212.htm"
